0,1,2,3,4,5,6
序号,学科门类,学校名称,项目类别,项目名称,项目批准号,申请人
1,法学,石河子大学,规划基金项目,"清代南疆维吾尔社会的权力结构与赋税法运行研究（1759—
1884）",14XJJA820002,李德政
2,法学,新疆警察学院,规划基金项目,上海合作组织框架下的刑事司法合作路径探究,14XJJA820001,蒋秀兰
3,法学,新疆财经大学,青年基金项目,新疆违法流浪儿童预防、救助、回归研究,14XJJC820003,左晶
4,法学,新疆大学,青年基金项目,新疆毒品犯罪实证分析及对策研究,14XJJC820001,罗钢
5,法学,新疆大学,青年基金项目,社会地理空间差异背景下新疆三城区离婚诉讼的比较研究,14XJJC820002,肖建飞
6,管理学,石河子大学,规划基金项目,新疆地区企业社会责任与和谐社会关系研究,14XJJA630001,买生
7,管理学,新疆财经大学,规划基金项目,市场化程度、激励强度对公司成长的作用效力研究,14XJJA630002,王海燕
8,管理学,新疆财经大学,青年基金项目,理想主义与功利主义：企业双元价值观平衡与绩效关系研究,14XJJC630001,马晓苗
9,管理学,新疆财经大学,青年基金项目,制度背景、管理者权力与公司投资效率研究,14XJJC630002,姚曦
10,"交叉学科/综合
研究",新疆财经大学,规划基金项目,维吾尔语水平测试研究与应用,14XJJAZH001,贾志先
11,"交叉学科/综合
研究",昌吉学院,青年基金项目,比较文学形象学视野下的上古西域形象研究,14XJJCZH002,陈强
12,"交叉学科/综合
研究",昌吉学院,青年基金项目,"建国以来民汉交互与国家认同中新疆视觉形像建构的图像学
研究",14XJJCZH007,杨树文
13,"交叉学科/综合
研究",石河子大学,青年基金项目,"少数民族地区农村最低生活保障与扶贫对象动态管理机制研
究——基于新疆的调查",14XJJCZH005,强国民
14,"交叉学科/综合
研究",石河子大学,青年基金项目,"文化认同视角下新疆维、哈、蒙、柯少数民族双语学习者宗
教信仰现状与对策研究",14XJJCZH008,杨小艳
序号,学科门类,学校名称,项目类别,项目名称,项目批准号,申请人
15,"交叉学科/综合
研究",塔里木大学,青年基金项目,南疆流动人口对民族关系影响的调查研究,14XJJCZH001,晁伟鹏
16,"交叉学科/综合
研究",新疆师范大学,青年基金项目,新疆焉耆盆地生态安全研究,14XJJCZH003,韩炜
17,"交叉学科/综合
研究",新疆医科大学,青年基金项目,清代西域文学地图数字分析平台构建与研究,14XJJCZH004,蒋英
18,"交叉学科/综合
研究",新疆医科大学,青年基金项目,"涌现论视角下的新疆高校少数民族学生英语句法结构习得与
心理加工机制研究",14XJJCZH006,魏亚丽
19,教育学,乌鲁木齐职业大学,规划基金项目,新疆民族地区职业教育与产业对接改革实践研究,14XJJA880001,汪长明
20,教育学,新疆警察学院,规划基金项目,新疆反恐警务实战人才培养模式创新研究,14XJJA880002,王涛
21,教育学,伊犁师范学院,规划基金项目,"多元文化视域下新疆哈萨克族大学生跨文化交际能力培养研
究",14XJJA880003,吴若愚
22,教育学,石河子大学,青年基金项目,本土文化视阈下新疆民族地区校本课程开发与实践,14XJJC880004,杨淑萍
23,教育学,石河子大学,青年基金项目,家庭资本对新疆高校学生就业认知影响的调查研究,14XJJC880005,张明
24,教育学,新疆师范大学,青年基金项目,"新疆少数民族高等教育入学机会调查研究----基于家庭背景
的分析",14XJJC880001,多强
25,教育学,新疆师范大学,青年基金项目,新疆地方手势的田野调查及其语料库建设研究,14XJJC880002,贾玲
26,教育学,新疆师范大学,青年基金项目,新疆少数民族双语教师培训中的文化适应问题研究,14XJJC880003,马文
27,经济学,石河子大学,青年基金项目,中国新疆与中亚及周边国家跨境人民币业务发展问题研究,14XJJC790001,高岩
28,"马克思主义/思
想政治教育",新疆大学,规划基金项目,新疆少数民族大学生主流意识形态认同现状及培育路径研究,14XJJA710001,"亚里坤·
买买提亚"
29,民族学与文化学,石河子大学,规划基金项目,新疆少数民族聚居区青少年辍学问题调查研究,14XJJA850001,"尔
雍会"
30,民族学与文化学,石河子大学,青年基金项目,新疆民汉合校背景下的维汉文化适应研究,14XJJC850002,赵福君
序号,学科门类,学校名称,项目类别,项目名称,项目批准号,申请人
31,民族学与文化学,新疆财经大学,青年基金项目,新疆少数民族闲散青少年就业问题研究,14XJJC850001,井西晓
32,体育科学,"新疆农业职业技术
学院",规划基金项目,"以职业核心能力和职业核心价值观为导向的新疆高职体育课
程建设与推广研究",14XJJA890001,王建军
33,体育科学,新疆师范大学,青年基金项目,新时期优化我国青少年体质健康评价标准研究,14XJJC890001,高刚
34,新闻学与传播学,新疆大学,青年基金项目,“新疆民族关系”媒体舆论引导研究,14XJJC860001,胡小青
35,新闻学与传播学,"新疆轻工职业技术
学院",青年基金项目,麦西来甫数字化资源库建设与研究,14XJJC860002,李彩霞
36,艺术学,新疆师范大学,规划基金项目,伊犁河流域哈萨克族音乐生活与生态研究,14XJJA760001,"莱再提·
克里木别"
37,艺术学,新疆大学,青年基金项目,"新疆少数民族传统足衣非物质文化遗产“生产性保护”策略
研究",14XJJC760002,"克
刘金莲"
38,艺术学,新疆大学,青年基金项目,城市化进程中喀什地区维吾尔族民居室内空间变化研究,14XJJC760004,翟宇
39,艺术学,新疆师范大学,青年基金项目,新疆维吾尔族传统木雕家具艺术研究,14XJJC760001,郭文礼
40,艺术学,"新疆师范高等专科
学校",青年基金项目,新疆喀什中小学美术教师继续教育现状及发展策略,14XJJC760003,王娜
41,语言学,伊犁师范学院,规划基金项目,"新疆少数民族母语（L1）与汉语（L2）对其英语（L3）的影
响—以请求言语行为为例",14XJJA740001,刘惠萍
42,语言学,伊犁师范学院,规划基金项目,"锡伯语言文字对满语言文字的继承,发展规律研究",14XJJA740002,文静
43,语言学,昌吉学院,青年基金项目,MHK在新疆高校的实证性调查及后效研究,14XJJC740002,马静
44,语言学,喀什师范学院,青年基金项目,维吾尔语句际关系研究,14XJJC740003,张美涛
45,语言学,新疆大学,青年基金项目,"新疆少数民族政府劳务输出人员汉语水平调查--以喀什、和
田地区维吾尔族为例",14XJJC740001,姜涛
46,语言学,新疆大学,青年基金项目,中亚留学生汉语学习动机减退研究,14XJJC740004,周颖
序号,学科门类,学校名称,项目类别,项目名称,项目批准号,申请人
47,哲学,新疆师范大学,青年基金项目,西部地区少数民族文化中的生态与反生态思想研究,14XJJC720001,卢艳玲
48,中国文学,石河子大学,青年基金项目,当代流寓新疆作家的体验与表达,14XJJC751001,胡新华
