0,1,2,3,4,5,6
序号,学科门类,学校名称,项目类别,项目名称,项目批准号,申请人
1,"交叉学科/综合研
究",新疆财经大学,青年基金项目,"基于收益合理共享视角的新疆矿产资源成本补偿税
费改革问题研究",13XJJCZH001,陈维青
2,"交叉学科/综合研
究",新疆工程学院,青年基金项目,"二十世纪上半叶欧洲游记中的新疆形象与书写策略
研究",13XJJCZH002,张文瑜
3,教育学,新疆大学,规划基金项目,"区域性来华留学生教育发展研究--基于新疆的实证
分析",13XJJA880001,"海力古丽.尼
牙孜"
4,教育学,新疆医科大学,规划基金项目,"新疆高校民族学生大学语文教育的优化整合实践研
究",13XJJA880002,王群
5,教育学,喀什师范学院,青年基金项目,"新疆南疆少数民族中小学生学科能力表现与培养策
略研究",13XJJC880003,吴宏
6,教育学,石河子大学,青年基金项目,"基于教育现象学方法的新疆少数民族教师新课改阻
抗研究",13XJJC880001,代瑞香
7,教育学,石河子大学,青年基金项目,新疆学前双语教师职业准入制度研究,13XJJC880002,李攀
8,教育学,伊犁师范学院,青年基金项目,"新疆免费师范生教师专业身份认同的现状与建构策
略研究",13XJJC880004,谢淑海
9,经济学,新疆财经大学,青年基金项目,新疆多维益贫式增长判断及路径选择,13XJJC790001,张庆红
10,历史学,塔里木大学,规划基金项目,新疆中原华夏文化资源的数字化研究与传承,13XJJA770001,廖肇羽
11,逻辑学,"新疆应用职业技术学
院",规划基金项目,哈萨克雄辩词的逻辑基础,13XJJA72040001,"节肯·哈吾
提"
12,"马克思主义/思想
政治教育",喀什师范学院,规划基金项目,"新疆少数民族大学生中国特色社会主义道路认同研
究",13XJJA710001,梁玉春
13,心理学,新疆师范大学,青年基金项目,双语经验对维吾尔族双语老年者执行功能的影响,13XJJC190001,焦江丽
14,新闻学与传播学,塔里木大学,青年基金项目,中外媒体关于新疆热点事件报道的比较研究,13XJJC860001,刘福利
15,新闻学与传播学,新疆师范大学,青年基金项目,哈萨克斯坦教科书中的中国形象研究,13XJJC860002,闫新艳
16,艺术学,昌吉学院,规划基金项目,新疆跨地域“离散”群体回族音乐文化综合研究,13XJJA760001,董光军
17,语言学,喀什师范学院,规划基金项目,基于语料库的维吾尔语言教学研究,13XJJA740001,胡传成
18,语言学,新疆大学,规划基金项目,改革开放以来新疆维吾尔族语言变化变迁研究,13XJJA740002,赵平
19,哲学,新疆大学,青年基金项目,“后李约瑟时代”中国科学史的方法论研究,13XJJC720001,郝新鸿
20,宗教学,塔里木大学,青年基金项目,"多元宗教文化背景下的新疆南疆基督教传播的现状
调查研究",13XJJC730001,秀梅
