0,1,2,3,4,5,6
序号,学科门类,项目名称,项目类别,项目批准号,申请人,学校名称
1,"马克思主义/思
想政治教育",“816”核工程口述史资料搜集及精神研究,规划基金项目,20XJA710004,喻问琼,长江师范学院
2,"马克思主义/思
想政治教育",媒介场域视角下意识形态话语权的嬗变与重构研究,规划基金项目,20XJA710001,敖永春,重庆邮电大学
3,"马克思主义/思
想政治教育",马克思主义幸福观视域下的人民幸福感提升研究,规划基金项目,20XJA710006,赵军魁,甘肃政法大学
4,"马克思主义/思
想政治教育","红色文化融入高校思想政治教育的理论基础与实践路径
研究",规划基金项目,20XJA710003,李纪岩,"海南热带海洋学
院"
5,"马克思主义/思
想政治教育",新时代高校思政课教师职业道德评价体系研究,规划基金项目,20XJA710002,高萍美,陕西师范大学
6,"马克思主义/思
想政治教育",习近平总书记关于社会主义民主政治的重要论述研究,规划基金项目,20XJA710005,张永红,西南大学
7,"马克思主义/思
想政治教育","基于多维大数据融合的高校思想政治教育共同体建设研
究",青年基金项目,20XJC710001,程桂龙,重庆邮电大学
8,"马克思主义/思
想政治教育",人工智能推动思想政治理论课教学改革创新的趋势研究,青年基金项目,20XJC710008,王卫国,南宁师范大学
9,"马克思主义/思
想政治教育","习近平总书记关于中华优秀传统文化创造性转化创新性
发展的重要论述研究",青年基金项目,20XJC710004,刘晶,内蒙古科技大学
10,"马克思主义/思
想政治教育","延安时期中国共产党干部队伍理想信念教育的基本经验
和当代价值研究",青年基金项目,20XJC710009,魏德平,陕西师范大学
11,"马克思主义/思
想政治教育",人类命运共同体视野下的新型空间政治研究,青年基金项目,20XJC710010,熊小果,四川农业大学
12,"马克思主义/思
想政治教育","自媒体视阈下高校思政课亲和力和针对性的提升策略研
究",青年基金项目,20XJC710006,庞震,"西安电子科技大
学"
13,"马克思主义/思
想政治教育",习近平外交思想中的中华优秀传统文化蕴涵研究,青年基金项目,20XJC710003,郭佳鑫,西安外国语大学
序号,学科门类,项目名称,项目类别,项目批准号,申请人,学校名称
14,"马克思主义/思
想政治教育",新时代高校意识形态工作领导权管理权话语权研究,青年基金项目,20XJC710002,邓福蓉,西南大学
15,"马克思主义/思
想政治教育",新时代背景下中国共产党斗争精神研究,青年基金项目,20XJC710007,王绍霞,西南大学
16,"马克思主义/思
想政治教育",中国共产党应对马歇尔调处的态度与策略研究,青年基金项目,20XJC710005,吕锡月,延安大学
17,哲学,荀子与亚里士多德的政治哲学比较研究,规划基金项目,20XJA720001,宋宽锋,陕西师范大学
18,哲学,康德式道德主体的建构与证成研究,青年基金项目,20XJC720001,陈晓川,贵州师范大学
19,宗教学,云南佛教三大部派寺院教育有关问题研究,青年基金项目,20XJC730001,赵兴元,云南师范大学
20,语言学,主题分类视域下殷周金文动词的整理与研究,规划基金项目,20XJA740003,寇占民,河池学院
21,语言学,"基于三语构建的蒙古族大学生英语教学实证研究与系统
设计",规划基金项目,20XJA740007,张晓华,内蒙古农业大学
22,语言学,“计算机领域蒙古文术语”整理及其知识图谱构建研究,规划基金项目,20XJA740002,菊花,内蒙古师范大学
23,语言学,蒙藏文化互动中阿旺丹达对藏语言文字的贡献研究,规划基金项目,20XJA740005,仁欠扎西,青海师范大学
24,语言学,麦积山佛教石窟语料库建设研究,规划基金项目,20XJA740004,马英莲,天水师范学院
25,语言学,规范与描写视角下的《大明律》英译研究,规划基金项目,20XJA740006,王建,西南政法大学
26,语言学,跨境独龙族语言生活现状及演变研究,规划基金项目,20XJA740001,黄兴亚,云南中医药大学
27,语言学,朝鲜语借字表记文献的整理与研究,青年基金项目,20XJC740006,张硕,宝鸡文理学院
28,语言学,"基于语料库的中国英语学习者时体偏误研究——以英汉
时空性差异论为视角",青年基金项目,20XJC740003,李雯雯,北方民族大学
29,语言学,湘黔边区苗侗民族迁徙史诗整理研究,青年基金项目,20XJC740005,吴永谊,贵州民族大学
序号,学科门类,项目名称,项目类别,项目批准号,申请人,学校名称
30,语言学,中国现当代文学作品合译研究,青年基金项目,20XJC740004,马冬梅,兰州理工大学
