0,1,2,3,4,5,6
序号,学科门类,项目名称,项目类别,项目批准号,申请人,学校名称
1,"马克思主义/
思想政治教","社会稳定和长治久安视阈下的新疆高校少数民族大
学生就业观教育研究",青年基金项目,18XJJC710001,王龙淼,石河子大学
2,语言学,新疆少数民族学龄前儿童普通话声调习得研究,规划基金项目,18XJJA740001,徐世昌,新疆农业大学
3,外国文学,苏联文学框架下的哈萨克斯坦俄语长篇小说研究,青年基金项目,18XJJC752001,蒙曜登,石河子大学
4,艺术学,新疆游牧民族琉特类乐器调查与研究,青年基金项目,18XJJC760003,张旭,石河子大学
5,艺术学,哈萨克刺绣产品工艺质量标准体系构建研究,青年基金项目,18XJJC760002,孙宁,石河子大学
6,艺术学,俄罗斯钢琴学派对中国钢琴艺术的影响与启示研究,青年基金项目,18XJJC760001,史玉,石河子大学
7,法学,新疆多民族地区公民法治意识实证研究,青年基金项目,18XJJC820001,夜晓语,塔里木大学
8,社会学,"新疆南疆三地州民汉杂居村乡村文化建设与路径选
择研究",青年基金项目,18XJJC840001,骆鹏,石河子大学
9,"民族学与文
化学","基于图案基元的新疆游牧民族服饰纹样库建立与研
究",青年基金项目,18XJJC850001,钱娟,新疆大学
10,教育学,"新疆地区基础教育信息化绩效及评价指标体系构建
研究",规划基金项目,18XJJA880001,张红艳,石河子大学
11,教育学,新疆薄弱学校教师的知识贫困及援助策略研究,青年基金项目,18XJJC880002,胡洪强,伊犁师范学院
12,教育学,"内高班经历与新疆籍少数民族大学生教育收获关系
研究",青年基金项目,18XJJC880001,陈举,伊犁师范学院
序号,学科门类,项目名称,项目类别,项目批准号,申请人,学校名称
13,"交叉学科/综
合研究","新疆高职院校大学生中国特色社会主义理论认同教
育研究",规划基金项目,18XJJAZH001,沈蕾,乌鲁木齐职业大学
14,"交叉学科/综
合研究","新疆城乡居民基本医疗保险整合背景下居民卫生服
务利用公平性分析研究",青年基金项目,18XJJCZH001,毛璐,石河子大学
